class,area,year,id,
'Restinga Herbácea',3506.444561,1991,1,
'Pastagem',4824897.101,1991,1,
'Soja',2847109.407,1991,1,
'Cana',32003.89285,1991,1,
'Arroz',37.48229896,1991,1,
'Algodão (beta)',0,1991,1,
'Outras Lavouras Temporárias',2490007.741,1991,1,
'Café',94473.8323,1991,1,
'Outras Lavouras Perenes',2936.628104,1991,1,
'Silvicultura',482154.6626,1991,1,
'Mosaico de Usos',3173096.088,1991,1,
'Praia  Duna e Areal',474.8483876,1991,1,
'Área Urbanizada',154826.9303,1991,1,
'Mineração',1451.350622,1991,1,
'Outras Áreas não Vegetadas',3604.70694,1991,1,
'Rio Lago e Oceano',386373.3484,1991,1,
'Aquicultura',0,1991,1,
'Formação Florestal',5056104.217,1992,1,
'Formação Savânica',112.5618781,1992,1,
'Mangue',21208.57981,1992,1,
'Restinga Arbórea',134430.5344,1992,1,
'Campo Alagado e Área Pantanosa',151171.5482,1992,1,
'Formação Campestre',32113.28977,1992,1,
'Apicum',492.4516501,1992,1,
'Afloramento Rochoso',9391.516202,1992,1,
'Restinga Herbácea',3499.551952,1992,1,
'Pastagem',4817415.403,1992,1,
'Soja',2870099.842,1992,1,
'Cana',35952.1614,1992,1,
'Arroz',73.91107681,1992,1,
'Algodão (beta)',0,1992,1,
'Outras Lavouras Temporárias',2594078.419,1992,1,
'Café',78023.82323,1992,1,
'Outras Lavouras Perenes',1940.798481,1992,1,
'Silvicultura',505033.5628,1992,1,
'Mosaico de Usos',3057005.53,1992,1,
'Praia  Duna e Areal',448.3266584,1992,1,
'Área Urbanizada',160171.6526,1992,1,
'Mineração',1557.812097,1992,1,
'Outras Áreas não Vegetadas',3816.057729,1992,1,
'Rio Lago e Oceano',393721.3779,1992,1,
'Aquicultura',0,1992,1,
'Formação Florestal',5043895.245,1993,1,
'Formação Savânica',116.4018016,1993,1,
'Mangue',20976.49772,1993,1,
'Restinga Arbórea',135100.5675,1993,1,
'Campo Alagado e Área Pantanosa',152238.6772,1993,1,
'Formação Campestre',32629.38188,1993,1,
'Apicum',457.9162125,1993,1,
'Afloramento Rochoso',9376.86571,1993,1,
'Restinga Herbácea',3544.673647,1993,1,
'Pastagem',4793768.855,1993,1,
'Soja',2998649.745,1993,1,
'Cana',42169.58737,1993,1,
'Arroz',60.52898447,1993,1,
'Algodão (beta)',0,1993,1,
'Outras Lavouras Temporárias',2620511.465,1993,1,
'Café',68180.0829,1993,1,
'Outras Lavouras Perenes',1038.806026,1993,1,
'Silvicultura',520546.7221,1993,1,
'Mosaico de Usos',2916680.951,1993,1,
'Praia  Duna e Areal',445.9766387,1993,1,
'Área Urbanizada',164292.2157,1993,1,
'Mineração',1653.43082,1993,1,
'Outras Áreas não Vegetadas',3852.425334,1993,1,
'Rio Lago e Oceano',397719.1766,1993,1,
'Aquicultura',0,1993,1,
'Formação Florestal',5025370.331,1994,1,
'Formação Savânica',127.9160673,1994,1,
'Mangue',20813.17999,1994,1,
'Restinga Arbórea',135249.4783,1994,1,
'Campo Alagado e Área Pantanosa',152313.783,1994,1,
'Formação Campestre',33537.54438,1994,1,
'Apicum',395.2873976,1994,1,
'Afloramento Rochoso',9368.315446,1994,1,
'Restinga Herbácea',3590.734538,1994,1,
'Pastagem',4809596.45,1994,1,
'Soja',3250287.052,1994,1,
'Cana',45845.91311,1994,1,
'Arroz',82.68485989,1994,1,
'Algodão (beta)',0,1994,1,
'Outras Lavouras Temporárias',2442443.521,1994,1,
'Café',54603.86059,1994,1,
'Outras Lavouras Perenes',574.8790682,1994,1,
'Silvicultura',545603.1718,1994,1,
'Mosaico de Usos',2827014.592,1994,1,
'Praia  Duna e Areal',440.4793325,1994,1,
'Área Urbanizada',168383.5138,1994,1,
'Mineração',1721.598462,1994,1,
'Outras Áreas não Vegetadas',3551.736955,1994,1,
'Rio Lago e Oceano',396992.2677,1994,1,
'Aquicultura',0,1994,1,
'Formação Florestal',5001902.558,1995,1,
'Formação Savânica',147.5122308,1995,1,
'Mangue',20741.72812,1995,1,
'Restinga Arbórea',134773.0021,1995,1,
