system:index,area,class,id,year,.geo
0_00000000000000000127_0_0,0.0276517140390433,'Mosaico de Agricultura ou Pastagem',296,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000127_0_1,0.010836863728123,'Restinga Florestal',296,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000127_0_0,0.0276517140390433,'Mosaico de Agricultura ou Pastagem',296,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000127_0_1,0.010836863728123,'Restinga Florestal',296,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000127_0_0,0.0276517140390433,'Mosaico de Agricultura ou Pastagem',296,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000127_0_1,0.010836863728123,'Restinga Florestal',296,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000127_0_0,0.0276517140390433,'Mosaico de Agricultura ou Pastagem',296,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000127_0_1,0.010836863728123,'Restinga Florestal',296,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000127_0_0,0.0196481180850758,'Mosaico de Agricultura ou Pastagem',296,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000127_0_1,0.0188404596820906,'Restinga Florestal',296,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000127_0_0,0.0159054251541436,'Mosaico de Agricultura ou Pastagem',296,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000127_0_1,0.0225831526130227,'Restinga Florestal',296,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000127_0_0,0.0159054251541436,'Mosaico de Agricultura ou Pastagem',296,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000127_0_1,0.0225831526130227,'Restinga Florestal',296,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000127_0_0,0.0159054251541436,'Mosaico de Agricultura ou Pastagem',296,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000127_0_1,0.0225831526130227,'Restinga Florestal',296,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000127_0_0,0.0159054251541436,'Mosaico de Agricultura ou Pastagem',296,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000127_0_1,0.0225831526130227,'Restinga Florestal',296,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000127_0_0,0.0159054251541436,'Mosaico de Agricultura ou Pastagem',296,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000127_0_1,0.0225831526130227,'Restinga Florestal',296,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000127_0_0,0.0164046623965992,'Mosaico de Agricultura ou Pastagem',296,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000127_0_1,0.0220839153705671,'Restinga Florestal',296,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000127_0_0,0.0164046623965992,'Mosaico de Agricultura ou Pastagem',296,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000127_0_1,0.0220839153705671,'Restinga Florestal',296,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000127_0_0,0.0164046623965992,'Mosaico de Agricultura ou Pastagem',296,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000127_0_1,0.0220839153705671,'Restinga Florestal',296,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000127_0_0,0.0164046623965992,'Mosaico de Agricultura ou Pastagem',296,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000127_0_1,0.0220839153705671,'Restinga Florestal',296,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000127_0_0,0.0235974075204886,'Mosaico de Agricultura ou Pastagem',296,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000127_0_1,0.0148911702466777,'Restinga Florestal',296,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000127_0_0,0.0235974075204886,'Mosaico de Agricultura ou Pastagem',296,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000127_0_1,0.0148911702466777,'Restinga Florestal',296,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000127_0_0,0.0235974075204886,'Mosaico de Agricultura ou Pastagem',296,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000127_0_1,0.0148911702466777,'Restinga Florestal',296,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000127_0_0,0.0077111198632333,'Mosaico de Agricultura ou Pastagem',296,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000127_0_1,0.0299665966368432,'Arroz',296,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000127_0_2,0.0008108612670898438,'Restinga Florestal',296,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000127_0_0,0.0077111198632333,'Mosaico de Agricultura ou Pastagem',296,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000127_0_1,0.0299665966368432,'Arroz',296,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000127_0_2,0.0008108612670898438,'Restinga Florestal',296,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000127_0_0,0.0249774287726907,'Mosaico de Agricultura ou Pastagem',296,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000127_0_1,0.0135111489944757,'Restinga Florestal',296,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000127_0_0,0.0249774287726907,'Mosaico de Agricultura ou Pastagem',296,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000127_0_1,0.0135111489944757,'Restinga Florestal',296,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_00000000000000000127_0_0,0.0176543665252087,'Mosaico de Agricultura ou Pastagem',296,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_00000000000000000127_0_1,0.0208342112419577,'Restinga Florestal',296,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_00000000000000000127_0_0,0.0176543665252087,'Mosaico de Agricultura ou Pastagem',296,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_00000000000000000127_0_1,0.0208342112419577,'Restinga Florestal',296,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_00000000000000000127_0_0,0.0176543665252087,'Mosaico de Agricultura ou Pastagem',296,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_00000000000000000127_0_1,0.0208342112419577,'Restinga Florestal',296,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_00000000000000000127_0_0,0.0169611610990636,'Mosaico de Agricultura ou Pastagem',296,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_00000000000000000127_0_1,0.0215274166681027,'Restinga Florestal',296,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_00000000000000000127_0_0,0.0169611610990636,'Mosaico de Agricultura ou Pastagem',296,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_00000000000000000127_0_1,0.0215274166681027,'Restinga Florestal',296,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_00000000000000000127_0_0,0.0169611610990636,'Mosaico de Agricultura ou Pastagem',296,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_00000000000000000127_0_1,0.0215274166681027,'Restinga Florestal',296,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_00000000000000000127_0_0,0.0123504099429859,'Mosaico de Agricultura ou Pastagem',296,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_00000000000000000127_0_1,0.0261381678241804,'Restinga Florestal',296,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_00000000000000000127_0_0,0.0123504099429859,'Mosaico de Agricultura ou Pastagem',296,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_00000000000000000127_0_1,0.0261381678241804,'Restinga Florestal',296,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_00000000000000000127_0_0,0.0123504099429859,'Mosaico de Agricultura ou Pastagem',296,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_00000000000000000127_0_1,0.0261381678241804,'Restinga Florestal',296,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_00000000000000000127_0_0,0.0082961701968922,'Mosaico de Agricultura ou Pastagem',296,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_00000000000000000127_0_1,0.0301924075702742,'Restinga Florestal',296,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_00000000000000000127_0_0,0.0082961701968922,'Mosaico de Agricultura ou Pastagem',296,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_00000000000000000127_0_1,0.0301924075702742,'Restinga Florestal',296,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_00000000000000000127_0_0,0.0082961701968922,'Mosaico de Agricultura ou Pastagem',296,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_00000000000000000127_0_1,0.0301924075702742,'Restinga Florestal',296,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_00000000000000000127_0_0,0.0082961701968922,'Mosaico de Agricultura ou Pastagem',296,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_00000000000000000127_0_1,0.0301924075702742,'Restinga Florestal',296,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_00000000000000000127_0_0,0.0082961701968922,'Mosaico de Agricultura ou Pastagem',296,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_00000000000000000127_0_1,0.0301924075702742,'Restinga Florestal',296,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000127_0_0,0.0082961701968922,'Mosaico de Agricultura ou Pastagem',296,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_00000000000000000127_0_1,0.0301924075702742,'Restinga Florestal',296,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
