system:index,area,class,id,year,.geo
0_00000000000000000285_0_0,0.2912110516357415,'Formação Florestal',646,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000285_0_1,0.0273289302478266,'Pastagem',646,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000285_0_2,0.0769638360133751,'Mosaico de Agricultura ou Pastagem',646,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000285_0_3,0.0175379976203469,'Soja',646,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000285_0_4,0.0340203806714824,'Outras Lavouras Temporárias',646,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000285_0_0,0.2912110446166985,'Formação Florestal',646,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000285_0_1,0.0416562838395661,'Pastagem',646,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000285_0_2,0.065878943908452,'Mosaico de Agricultura ou Pastagem',646,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000285_0_3,0.0369673261678059,'Soja',646,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000285_0_4,0.0113485976562499,'Outras Lavouras Temporárias',646,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000285_0_0,0.2912110446166985,'Formação Florestal',646,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000285_0_1,0.06354297091232,'Pastagem',646,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000285_0_2,0.059393931396245,'Mosaico de Agricultura ou Pastagem',646,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000285_0_3,0.0312930184895833,'Soja',646,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000285_0_4,0.0016212307739257,'Outras Lavouras Temporárias',646,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000285_0_0,0.2952641548461907,'Formação Florestal',646,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000285_0_1,0.0833252175194833,'Pastagem',646,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000285_0_2,0.0420434922231637,'Mosaico de Agricultura ou Pastagem',646,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000285_0_3,0.0151060723273782,'Soja',646,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000285_0_4,0.0113232592725566,'Outras Lavouras Temporárias',646,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000285_0_0,0.2895898630981438,'Formação Florestal',646,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000285_0_1,0.1158103271656708,'Pastagem',646,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000285_0_2,0.0400407927901922,'Mosaico de Agricultura ou Pastagem',646,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000285_0_3,0.0016212131347656,'Soja',646,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000285_0_0,0.2847260654296868,'Formação Florestal',646,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000285_0_1,0.1273591488719266,'Pastagem',646,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000285_0_2,0.0349769818871591,'Mosaico de Agricultura ou Pastagem',646,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000285_0_0,0.2863472363891595,'Formação Florestal',646,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000285_0_1,0.1331128714001224,'Pastagem',646,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000285_0_2,0.0276020883994906,'Mosaico de Agricultura ou Pastagem',646,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000285_0_0,0.2864711791963458,'Formação Florestal',646,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000285_0_1,0.1318094769287108,'Pastagem',646,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000285_0_2,0.0280345121132046,'Mosaico de Agricultura ou Pastagem',646,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000285_0_3,0.0007470279505112592,'Outras Lavouras Temporárias',646,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000285_0_0,0.2917386634878113,'Formação Florestal',646,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000285_0_1,0.1096175710875267,'Pastagem',646,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000285_0_2,0.0317125630177217,'Mosaico de Agricultura ou Pastagem',646,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000285_0_3,0.001621246520996,'Soja',646,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000285_0_4,0.0123721520747166,'Outras Lavouras Temporárias',646,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000285_0_0,0.2895516580142742,'Formação Florestal',646,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000285_0_1,0.0998901707579369,'Pastagem',646,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000285_0_2,0.0422505119312959,'Mosaico de Agricultura ou Pastagem',646,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000285_0_3,0.0066915907978132,'Soja',646,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000285_0_4,0.0086782646874521,'Outras Lavouras Temporárias',646,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000285_0_0,0.2899172634145691,'Formação Florestal',646,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000285_0_1,0.0958370693175072,'Pastagem',646,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000285_0_2,0.0459380079714307,'Mosaico de Agricultura ou Pastagem',646,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000285_0_3,0.0153698554852653,'Soja',646,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000285_0_0,0.2932360199359961,'Formação Florestal',646,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000285_0_1,0.1040639258858474,'Pastagem',646,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000285_0_2,0.0474289177454331,'Mosaico de Agricultura ou Pastagem',646,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000285_0_3,0.0008106241455078125,'Soja',646,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000285_0_4,0.001522708475988,'Outras Lavouras Temporárias',646,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000285_0_0,0.2932360199359961,'Formação Florestal',646,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000285_0_1,0.1116678638501932,'Pastagem',646,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000285_0_2,0.040635603926595,'Mosaico de Agricultura ou Pastagem',646,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000285_0_3,0.001522708475988,'Outras Lavouras Temporárias',646,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000285_0_0,0.2932360199359961,'Formação Florestal',646,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000285_0_1,0.1156224272456149,'Pastagem',646,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000285_0_2,0.0382037490071614,'Mosaico de Agricultura ou Pastagem',646,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000285_0_0,0.3005316372455664,'Formação Florestal',646,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000285_0_1,0.1128790326164693,'Pastagem',646,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000285_0_2,0.0336515263267367,'Mosaico de Agricultura ou Pastagem',646,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000285_0_0,0.3005316442646094,'Formação Florestal',646,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000285_0_1,0.1128599503597482,'Pastagem',646,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000285_0_2,0.0336706015644148,'Mosaico de Agricultura ou Pastagem',646,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000285_0_0,0.2989103959735937,'Formação Florestal',646,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000285_0_1,0.1112386985286936,'Pastagem',646,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
