system:index,area,class,id,year,.geo
0_000000000000000002d9_0_0,0.0051772773502125,'Pastagem',730,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002d9_0_1,0.0036866907683727,'Mosaico de Agricultura ou Pastagem',730,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000002d9_0_0,0.0051772773502125,'Pastagem',730,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000002d9_0_1,0.0036866907683727,'Mosaico de Agricultura ou Pastagem',730,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002d9_0_0,0.0088639681185853,'Pastagem',730,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000002d9_0_0,0.0088639681185853,'Pastagem',730,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000002d9_0_0,0.0088639681185853,'Pastagem',730,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000002d9_0_0,0.0088639681185853,'Pastagem',730,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000000000000000002d9_0_0,0.0068013308730181,'Pastagem',730,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000000000000000002d9_0_1,0.0020626372455671,'Soja',730,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002d9_0_0,0.0068013308730181,'Pastagem',730,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002d9_0_1,0.0020626372455671,'Outras Lavouras Temporárias',730,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_000000000000000002d9_0_0,0.0055268734200271,'Pastagem',730,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_000000000000000002d9_0_1,0.0033370946985581,'Mosaico de Agricultura ou Pastagem',730,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_000000000000000002d9_0_0,0.004716433905867,'Pastagem',730,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_000000000000000002d9_0_1,0.0041475342127182,'Mosaico de Agricultura ou Pastagem',730,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_000000000000000002d9_0_0,0.004716433905867,'Pastagem',730,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_000000000000000002d9_0_1,0.0041475342127182,'Mosaico de Agricultura ou Pastagem',730,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_000000000000000002d9_0_0,0.004716433905867,'Pastagem',730,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_000000000000000002d9_0_1,0.0041475342127182,'Mosaico de Agricultura ou Pastagem',730,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_000000000000000002d9_0_0,0.0039091778751148,'Pastagem',730,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_000000000000000002d9_0_1,0.0049547902434704,'Mosaico de Agricultura ou Pastagem',730,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_000000000000000002d9_0_0,0.004719617389275,'Pastagem',730,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_000000000000000002d9_0_1,0.0041443507293102,'Mosaico de Agricultura ou Pastagem',730,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
