system:index,area,class,id,year,.geo
0_00000000000000000438_0_0,1.7528032538739455,'Formação Florestal',1081,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000438_0_1,0.1933743562361174,'Pastagem',1081,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000438_0_2,0.6332589200709898,'Mosaico de Agricultura ou Pastagem',1081,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000438_0_0,1.885022267549404,'Formação Florestal',1081,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000438_0_1,0.1903391226902381,'Pastagem',1081,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000438_0_2,0.5040751399414061,'Mosaico de Agricultura ou Pastagem',1081,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000438_0_0,1.889452804389028,'Formação Florestal',1081,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000438_0_1,0.1894905531044154,'Pastagem',1081,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000438_0_2,0.500493172687605,'Mosaico de Agricultura ou Pastagem',1081,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000438_0_0,1.8879589574628064,'Formação Florestal',1081,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000438_0_1,0.18629643632621,'Pastagem',1081,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000438_0_2,0.505181136392032,'Mosaico de Agricultura ou Pastagem',1081,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000438_0_0,1.884876034093043,'Formação Florestal',1081,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000438_0_1,0.189433454980708,'Pastagem',1081,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000438_0_2,0.505127041107297,'Mosaico de Agricultura ou Pastagem',1081,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000438_0_0,1.8714446134509533,'Formação Florestal',1081,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000438_0_1,0.1771818737295114,'Pastagem',1081,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000438_0_2,0.5140039687746529,'Mosaico de Agricultura ou Pastagem',1081,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000438_0_3,0.0168060742259306,"'Rio, Lago e Oceano'",1081,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000438_0_0,1.8641693625562503,'Formação Florestal',1081,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000438_0_1,0.1797341194754808,'Pastagem',1081,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000438_0_2,0.5212790332069539,'Mosaico de Agricultura ou Pastagem',1081,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000438_0_3,0.0142540149423636,"'Rio, Lago e Oceano'",1081,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000438_0_0,1.863460618767236,'Formação Florestal',1081,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000438_0_1,0.2094887835568897,'Pastagem',1081,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000438_0_2,0.499511079188447,'Mosaico de Agricultura ou Pastagem',1081,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000438_0_3,0.0069760486684761,"'Rio, Lago e Oceano'",1081,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
