mun;grupos;num;area;n_af_nao;n_af_sim;area_af_nao;area_af_sim;usa_agrotoxico;nao_usa_agrotoxico;naf_usa_agrotoxico;naf_nao_usa_agrotoxico;af_usa_agrotoxico;af_nao_usa_agrotoxico;naf_organico;naf_n_organico;af_organico;af_n_organico;;
Adrianópolis;De 200 a menos de 500 ha;26;8235;26;0;8235;0;4;22;4;22;0;0;0;22;0;0;;
Adrianópolis;De 500 a menos de 1.000 ha;14;10779;14;0;10779;0;1;13;1;13;0;0;0;13;0;0;;
Adrianópolis;De 1.000 a menos de 2.500 ha;7;10976;7;0;10976;0;2;5;2;5;0;0;0;5;0;0;;
Adrianópolis;De 2.500 a menos de 10.000 ha;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;;
Adrianópolis;De 10.000 ha e mais;3;48016;3;0;48016;0;3;0;3;0;0;0;0;0;0;0;;
Adrianópolis;Produtor sem área;2;0;2;0;0;0;0;1;0;1;0;0;0;1;0;0;;
Agudos do Sul;Mais de 0 a menos de 0,1 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Agudos do Sul;De 0,1 a menos de 0,2 ha;6;1;1;5;0;0;2;4;1;0;1;4;0;0;1;2;;
Agudos do Sul;De 0,2 a menos de 0,5 ha;16;5;1;15;0;0;7;9;0;1;7;8;0;1;0;5;;
Agudos do Sul;De 0,5 a menos de 1 ha;52;41;13;39;11;31;23;29;8;5;15;24;3;1;3;16;;
Agudos do Sul;De 1 a menos de 2 ha;137;205;36;101;53;152;68;69;23;13;45;56;1;8;0;24;;
Agudos do Sul;De 2 a menos de 3 ha;101;242;21;80;50;192;58;43;11;10;47;33;0;8;0;22;;
Agudos do Sul;De 3 a menos de 4 ha;115;385;11;104;38;348;53;62;6;5;47;57;0;3;1;18;;
Agudos do Sul;De 4 a menos de 5 ha;100;459;9;91;41;418;40;60;5;4;35;56;0;4;4;29;;
Agudos do Sul;De 5 a menos de 10 ha;235;1582;20;215;134;1448;115;120;11;9;104;111;0;8;3;48;;
Agudos do Sul;De 10 a menos de 20 ha;138;1873;10;128;139;1733;108;30;3;7;105;23;0;7;0;11;;
Agudos do Sul;De 20 a menos de 50 ha;88;2570;7;81;191;2379;77;11;4;3;73;8;0;3;0;6;;
Agudos do Sul;De 50 a menos de 100 ha;8;573;4;4;0;0;4;4;2;2;2;2;0;2;0;2;;
Agudos do Sul;De 100 a menos de 200 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Agudos do Sul;De 200 a menos de 500 ha;3;931;3;0;931;0;1;2;1;2;0;0;0;1;0;0;;
Agudos do Sul;De 500 a menos de 1.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Agudos do Sul;De 1.000 a menos de 2.500 ha;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;;
Agudos do Sul;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Agudos do Sul;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Agudos do Sul;Produtor sem área;2;0;1;1;0;0;2;0;1;0;1;0;0;0;0;0;;
Almirante Tamandaré;Mais de 0 a menos de 0,1 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Almirante Tamandaré;De 0,1 a menos de 0,2 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Almirante Tamandaré;De 0,2 a menos de 0,5 ha;4;1;1;3;0;0;2;2;0;1;2;1;0;1;0;1;;
Almirante Tamandaré;De 0,5 a menos de 1 ha;5;3;2;3;0;0;1;4;1;1;0;3;0;1;0;2;;
Almirante Tamandaré;De 1 a menos de 2 ha;19;22;4;15;5;18;5;14;0;4;5;10;0;3;0;3;;
Almirante Tamandaré;De 2 a menos de 3 ha;35;82;5;30;12;70;23;12;0;5;23;7;0;3;0;3;;
Almirante Tamandaré;De 3 a menos de 4 ha;20;69;4;16;14;55;11;9;0;4;11;5;0;3;1;1;;
Almirante Tamandaré;De 4 a menos de 5 ha;25;116;5;20;23;93;17;8;2;3;15;5;0;2;0;3;;
Almirante Tamandaré;De 5 a menos de 10 ha;39;300;2;37;0;0;25;14;0;2;25;12;0;1;1;5;;
Almirante Tamandaré;De 10 a menos de 20 ha;27;351;4;23;47;304;15;12;2;2;13;10;0;2;2;6;;
Almirante Tamandaré;De 20 a menos de 50 ha;25;740;3;22;87;653;16;9;1;2;15;7;0;2;0;5;;
Almirante Tamandaré;De 50 a menos de 100 ha;3;196;3;0;196;0;2;1;2;1;0;0;0;1;0;0;;
Almirante Tamandaré;De 100 a menos de 200 ha;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;;
Almirante Tamandaré;De 200 a menos de 500 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Almirante Tamandaré;De 500 a menos de 1.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Almirante Tamandaré;De 1.000 a menos de 2.500 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Almirante Tamandaré;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Almirante Tamandaré;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Almirante Tamandaré;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Altamira do Paraná;Mais de 0 a menos de 0,1 ha;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;;
Altamira do Paraná;De 0,1 a menos de 0,2 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Altamira do Paraná;De 0,2 a menos de 0,5 ha;2;0;1;1;0;0;0;2;0;1;0;1;0;1;0;1;;
Altamira do Paraná;De 0,5 a menos de 1 ha;2;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;;
Altamira do Paraná;De 1 a menos de 2 ha;2;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;;
Altamira do Paraná;De 2 a menos de 3 ha;14;35;3;11;7;28;6;8;1;2;5;6;0;2;0;2;;
Altamira do Paraná;De 3 a menos de 4 ha;14;50;3;11;11;39;3;11;1;2;2;9;0;1;0;8;;
Altamira do Paraná;De 4 a menos de 5 ha;24;114;4;20;19;95;8;16;1;3;7;13;0;3;0;9;;
Altamira do Paraná;De 5 a menos de 10 ha;100;804;15;85;125;679;37;63;6;9;31;54;0;8;1;34;;
Altamira do Paraná;De 10 a menos de 20 ha;115;1648;17;98;245;1403;58;57;8;9;50;48;0;6;0;36;;
Altamira do Paraná;De 20 a menos de 50 ha;146;4472;12;134;359;4113;90;56;6;6;84;50;0;6;1;34;;
Altamira do Paraná;De 50 a menos de 100 ha;48;3329;14;34;1179;2150;33;15;7;7;26;8;0;2;0;6;;
