mun;grupos;num;area;n_af_nao;n_af_sim;area_af_nao;area_af_sim;usa_agrotoxico;nao_usa_agrotoxico;naf_usa_agrotoxico;naf_nao_usa_agrotoxico;af_usa_agrotoxico;af_nao_usa_agrotoxico;naf_organico;naf_n_organico;af_organico;af_n_organico;;
Bom Jesus do Sul;De 500 a menos de 1.000 ha;2;0;2;0;0;0;1;1;1;1;0;0;0;1;0;0;;
Bom Jesus do Sul;De 1.000 a menos de 2.500 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Bom Jesus do Sul;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Bom Jesus do Sul;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Bom Jesus do Sul;Produtor sem área;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;;
Bom Sucesso;Mais de 0 a menos de 0,1 ha;36;1;29;7;1;0;2;34;2;27;0;7;1;25;1;6;;
Bom Sucesso;De 0,1 a menos de 0,2 ha;16;2;9;7;1;1;3;13;2;7;1;6;0;7;0;3;;
Bom Sucesso;De 0,2 a menos de 0,5 ha;23;7;12;11;3;3;7;16;2;10;5;6;0;8;0;4;;
Bom Sucesso;De 0,5 a menos de 1 ha;35;19;23;12;12;7;9;26;7;16;2;10;0;13;0;6;;
Bom Sucesso;De 1 a menos de 2 ha;15;18;8;7;10;8;4;11;2;6;2;5;0;5;0;2;;
Bom Sucesso;De 2 a menos de 3 ha;12;29;3;9;0;0;3;9;1;2;2;7;0;2;0;5;;
Bom Sucesso;De 3 a menos de 4 ha;21;76;9;12;33;43;14;7;4;5;10;2;0;3;0;2;;
Bom Sucesso;De 4 a menos de 5 ha;21;96;13;8;60;37;8;13;6;7;2;6;0;4;0;3;;
Bom Sucesso;De 5 a menos de 10 ha;23;175;15;8;105;69;14;9;8;7;6;2;0;5;0;2;;
Bom Sucesso;De 10 a menos de 20 ha;33;460;9;24;121;339;23;10;5;4;18;6;0;3;0;4;;
Bom Sucesso;De 20 a menos de 50 ha;52;1818;13;39;455;1363;38;14;10;3;28;11;0;3;0;8;;
Bom Sucesso;De 50 a menos de 100 ha;27;2086;22;5;0;0;22;5;17;5;5;0;0;5;0;0;;
Bom Sucesso;De 100 a menos de 200 ha;24;3377;24;0;3377;0;16;8;16;8;0;0;0;5;0;0;;
Bom Sucesso;De 200 a menos de 500 ha;11;3299;11;0;3299;0;9;2;9;2;0;0;0;2;0;0;;
Bom Sucesso;De 500 a menos de 1.000 ha;9;5570;9;0;5570;0;9;0;9;0;0;0;0;0;0;0;;
Bom Sucesso;De 1.000 a menos de 2.500 ha;4;0;4;0;0;0;4;0;4;0;0;0;0;0;0;0;;
Bom Sucesso;De 2.500 a menos de 10.000 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Bom Sucesso;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Bom Sucesso;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Bom Sucesso do Sul;Mais de 0 a menos de 0,1 ha;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;;
Bom Sucesso do Sul;De 0,1 a menos de 0,2 ha;2;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;;
Bom Sucesso do Sul;De 0,2 a menos de 0,5 ha;5;1;2;3;0;0;5;0;2;0;3;0;0;0;0;0;;
Bom Sucesso do Sul;De 0,5 a menos de 1 ha;3;0;0;3;0;0;2;1;0;0;2;1;0;0;0;1;;
Bom Sucesso do Sul;De 1 a menos de 2 ha;11;14;1;10;0;0;6;5;0;1;6;4;1;0;2;0;;
Bom Sucesso do Sul;De 2 a menos de 3 ha;11;27;5;6;12;15;5;6;2;3;3;3;1;1;0;1;;
Bom Sucesso do Sul;De 3 a menos de 4 ha;20;70;7;13;25;45;15;5;5;2;10;3;1;0;1;0;;
Bom Sucesso do Sul;De 4 a menos de 5 ha;16;76;4;12;19;57;11;5;3;1;8;4;0;0;0;1;;
Bom Sucesso do Sul;De 5 a menos de 10 ha;42;343;4;38;34;309;36;6;2;2;34;4;1;0;1;3;;
Bom Sucesso do Sul;De 10 a menos de 20 ha;75;1124;2;73;0;0;73;2;2;0;71;2;0;0;0;0;;
Bom Sucesso do Sul;De 20 a menos de 50 ha;78;2469;2;76;0;0;77;1;2;0;75;1;0;0;0;0;;
Bom Sucesso do Sul;De 50 a menos de 100 ha;29;1921;12;17;953;968;29;0;12;0;17;0;0;0;0;0;;
Bom Sucesso do Sul;De 100 a menos de 200 ha;20;2874;20;0;2874;0;20;0;20;0;0;0;0;0;0;0;;
Bom Sucesso do Sul;De 200 a menos de 500 ha;17;5974;17;0;5974;0;17;0;17;0;0;0;0;0;0;0;;
Bom Sucesso do Sul;De 500 a menos de 1.000 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Bom Sucesso do Sul;De 1.000 a menos de 2.500 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Bom Sucesso do Sul;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Bom Sucesso do Sul;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Bom Sucesso do Sul;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Borrazópolis;Mais de 0 a menos de 0,1 ha;11;0;3;8;0;0;5;6;1;2;4;4;1;1;1;3;;
Borrazópolis;De 0,1 a menos de 0,2 ha;6;1;3;3;0;0;1;5;0;3;1;2;1;1;0;2;;
Borrazópolis;De 0,2 a menos de 0,5 ha;7;2;1;6;0;0;5;2;1;0;4;2;0;0;0;2;;
Borrazópolis;De 0,5 a menos de 1 ha;14;9;3;11;2;7;4;10;0;3;4;7;0;3;0;6;;
Borrazópolis;De 1 a menos de 2 ha;43;56;12;31;15;42;22;21;5;7;17;14;1;6;1;12;;
Borrazópolis;De 2 a menos de 3 ha;37;89;10;27;24;65;22;15;7;3;15;12;1;2;1;9;;
Borrazópolis;De 3 a menos de 4 ha;37;126;13;24;45;81;20;17;5;8;15;9;0;8;0;9;;
Borrazópolis;De 4 a menos de 5 ha;45;214;9;36;42;172;26;19;2;7;24;12;1;5;1;10;;
Borrazópolis;De 5 a menos de 10 ha;99;743;19;80;131;611;76;23;12;7;64;16;0;6;0;14;;
Borrazópolis;De 10 a menos de 20 ha;123;1750;11;112;161;1589;104;19;6;5;98;14;0;4;0;12;;
Borrazópolis;De 20 a menos de 50 ha;125;4059;9;116;264;3795;115;10;6;3;109;7;1;0;1;5;;
Borrazópolis;De 50 a menos de 100 ha;56;3896;28;28;2213;1683;53;3;26;2;27;1;0;1;0;1;;
Borrazópolis;De 100 a menos de 200 ha;36;5117;36;0;5117;0;33;3;33;3;0;0;0;3;0;0;;
Borrazópolis;De 200 a menos de 500 ha;24;7230;24;0;7230;0;19;5;19;5;0;0;1;1;0;0;;
Borrazópolis;De 500 a menos de 1.000 ha;5;0;5;0;0;0;3;2;3;2;0;0;1;1;0;0;;
Borrazópolis;De 1.000 a menos de 2.500 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Borrazópolis;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Borrazópolis;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Borrazópolis;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Braganey;Mais de 0 a menos de 0,1 ha;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;;
Braganey;De 0,1 a menos de 0,2 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Braganey;De 0,2 a menos de 0,5 ha;6;2;2;4;0;0;3;3;2;0;1;3;0;0;0;3;;
Braganey;De 0,5 a menos de 1 ha;29;16;3;26;0;0;15;14;0;3;15;11;0;2;0;9;;
Braganey;De 1 a menos de 2 ha;29;37;4;25;5;33;18;11;3;1;15;10;0;1;2;3;;
Braganey;De 2 a menos de 3 ha;33;81;7;26;18;63;23;10;4;3;19;7;0;3;0;5;;
Braganey;De 3 a menos de 4 ha;20;70;3;17;10;60;12;8;2;1;10;7;0;1;0;5;;
Braganey;De 4 a menos de 5 ha;24;114;5;19;24;90;15;9;3;2;12;7;0;2;0;6;;
Braganey;De 5 a menos de 10 ha;69;519;7;62;54;465;44;25;1;6;43;19;1;5;1;12;;
Braganey;De 10 a menos de 20 ha;72;1084;5;67;77;1006;56;16;2;3;54;13;0;3;0;6;;
Braganey;De 20 a menos de 50 ha;105;3455;9;96;304;3151;93;12;6;3;87;9;0;2;0;7;;
Braganey;De 50 a menos de 100 ha;54;3964;30;24;2530;1434;49;5;26;4;23;1;0;4;0;1;;
Braganey;De 100 a menos de 200 ha;24;3319;24;0;3319;0;21;3;21;3;0;0;0;2;0;0;;
Braganey;De 200 a menos de 500 ha;31;9185;31;0;9185;0;27;4;27;4;0;0;0;3;0;0;;
Braganey;De 500 a menos de 1.000 ha;9;5970;9;0;5970;0;7;2;7;2;0;0;0;1;0;0;;
Braganey;De 1.000 a menos de 2.500 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Braganey;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Braganey;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Braganey;Produtor sem área;2;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;;
Brasilândia do Sul;Mais de 0 a menos de 0,1 ha;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;;
Brasilândia do Sul;De 0,1 a menos de 0,2 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Brasilândia do Sul;De 0,2 a menos de 0,5 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Brasilândia do Sul;De 0,5 a menos de 1 ha;15;8;0;15;0;8;2;13;0;0;2;13;0;0;1;1;;
Brasilândia do Sul;De 1 a menos de 2 ha;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;1;;
Brasilândia do Sul;De 2 a menos de 3 ha;10;25;0;10;0;25;2;8;0;0;2;8;0;0;3;4;;
Brasilândia do Sul;De 3 a menos de 4 ha;4;15;0;4;0;15;0;4;0;0;0;4;0;0;0;3;;
Brasilândia do Sul;De 4 a menos de 5 ha;6;28;0;6;0;28;3;3;0;0;3;3;0;0;0;2;;
Brasilândia do Sul;De 5 a menos de 10 ha;20;145;1;19;0;0;15;5;1;0;14;5;0;0;2;2;;
Brasilândia do Sul;De 10 a menos de 20 ha;23;341;3;20;51;291;18;5;1;2;17;3;1;0;0;2;;
Brasilândia do Sul;De 20 a menos de 50 ha;35;1118;2;33;0;0;30;5;1;1;29;4;0;1;0;4;;
Brasilândia do Sul;De 50 a menos de 100 ha;33;2328;17;16;1271;1058;31;2;16;1;15;1;0;0;0;1;;
Brasilândia do Sul;De 100 a menos de 200 ha;15;1970;15;0;1970;0;13;2;13;2;0;0;0;0;0;0;;
Brasilândia do Sul;De 200 a menos de 500 ha;28;8710;28;0;8710;0;27;1;27;1;0;0;0;1;0;0;;
Brasilândia do Sul;De 500 a menos de 1.000 ha;9;6682;9;0;6682;0;9;0;9;0;0;0;0;0;0;0;;
Brasilândia do Sul;De 1.000 a menos de 2.500 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Brasilândia do Sul;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Brasilândia do Sul;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Brasilândia do Sul;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafeara;Mais de 0 a menos de 0,1 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafeara;De 0,1 a menos de 0,2 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafeara;De 0,2 a menos de 0,5 ha;3;1;2;1;0;0;0;3;0;2;0;1;0;2;0;1;;
Cafeara;De 0,5 a menos de 1 ha;15;8;10;5;5;3;1;14;1;9;0;5;1;5;0;4;;
Cafeara;De 1 a menos de 2 ha;3;3;3;0;3;0;1;2;1;2;0;0;0;1;0;0;;
Cafeara;De 2 a menos de 3 ha;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;;
Cafeara;De 3 a menos de 4 ha;4;13;1;3;0;0;3;1;1;0;2;1;0;0;0;1;;
Cafeara;De 4 a menos de 5 ha;4;19;0;4;0;19;2;2;0;0;2;2;0;0;0;1;;
Cafeara;De 5 a menos de 10 ha;11;83;3;8;23;60;5;6;2;1;3;5;0;1;0;3;;
Cafeara;De 10 a menos de 20 ha;47;742;5;42;74;668;31;16;0;5;31;11;0;3;0;8;;
Cafeara;De 20 a menos de 50 ha;35;1167;7;28;243;924;22;13;6;1;16;12;1;0;0;9;;
Cafeara;De 50 a menos de 100 ha;11;764;4;7;346;418;6;5;1;3;5;2;0;2;0;1;;
Cafeara;De 100 a menos de 200 ha;10;1293;10;0;1293;0;8;2;8;2;0;0;0;0;0;0;;
Cafeara;De 200 a menos de 500 ha;10;3488;10;0;3488;0;8;2;8;2;0;0;0;1;0;0;;
Cafeara;De 500 a menos de 1.000 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Cafeara;De 1.000 a menos de 2.500 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Cafeara;De 2.500 a menos de 10.000 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Cafeara;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafeara;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafelândia;Mais de 0 a menos de 0,1 ha;3;0;0;3;0;0;0;3;0;0;0;3;0;0;0;3;;
Cafelândia;De 0,1 a menos de 0,2 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafelândia;De 0,2 a menos de 0,5 ha;2;0;1;1;0;0;2;0;1;0;1;0;0;0;0;0;;
Cafelândia;De 0,5 a menos de 1 ha;10;6;1;9;0;0;2;8;0;1;2;7;0;1;3;3;;
Cafelândia;De 1 a menos de 2 ha;20;26;2;18;0;0;3;17;0;2;3;15;0;1;2;13;;
Cafelândia;De 2 a menos de 3 ha;31;76;6;25;15;62;8;23;0;6;8;17;0;6;1;15;;
Cafelândia;De 3 a menos de 4 ha;11;38;2;9;0;0;4;7;0;2;4;5;0;2;0;4;;
Cafelândia;De 4 a menos de 5 ha;32;151;5;27;23;128;15;17;2;3;13;14;0;0;0;13;;
Cafelândia;De 5 a menos de 10 ha;53;413;13;40;99;315;37;16;6;7;31;9;0;7;0;8;;
Cafelândia;De 10 a menos de 20 ha;81;1193;11;70;165;1028;69;12;7;4;62;8;0;3;0;7;;
Cafelândia;De 20 a menos de 50 ha;103;3224;9;94;313;2911;97;6;7;2;90;4;0;1;0;4;;
Cafelândia;De 50 a menos de 100 ha;43;3007;25;18;1938;1068;43;0;25;0;18;0;0;0;0;0;;
Cafelândia;De 100 a menos de 200 ha;23;3413;23;0;3413;0;23;0;23;0;0;0;0;0;0;0;;
Cafelândia;De 200 a menos de 500 ha;26;8540;26;0;8540;0;26;0;26;0;0;0;0;0;0;0;;
Cafelândia;De 500 a menos de 1.000 ha;6;4115;6;0;4115;0;6;0;6;0;0;0;0;0;0;0;;
Cafelândia;De 1.000 a menos de 2.500 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafelândia;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafelândia;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafelândia;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafezal do Sul;Mais de 0 a menos de 0,1 ha;16;1;4;12;0;1;0;16;0;4;0;12;0;4;0;12;;
Cafezal do Sul;De 0,1 a menos de 0,2 ha;6;1;3;3;0;0;0;6;0;3;0;3;0;3;0;3;;
Cafezal do Sul;De 0,2 a menos de 0,5 ha;11;4;3;8;1;3;2;9;1;2;1;7;0;2;1;4;;
Cafezal do Sul;De 0,5 a menos de 1 ha;26;14;12;14;6;7;10;16;4;8;6;8;0;7;0;7;;
Cafezal do Sul;De 1 a menos de 2 ha;7;9;0;7;0;9;2;5;0;0;2;5;0;0;0;5;;
Cafezal do Sul;De 2 a menos de 3 ha;23;56;13;10;31;24;3;20;0;13;3;7;0;10;0;5;;
Cafezal do Sul;De 3 a menos de 4 ha;8;28;3;5;0;0;1;7;0;3;1;4;0;2;0;3;;
Cafezal do Sul;De 4 a menos de 5 ha;38;180;16;22;75;105;3;35;1;15;2;20;0;11;4;14;;
Cafezal do Sul;De 5 a menos de 10 ha;68;518;25;43;198;320;13;55;5;20;8;35;0;18;1;27;;
Cafezal do Sul;De 10 a menos de 20 ha;120;1689;42;78;600;1089;19;101;3;39;16;62;0;31;0;43;;
Cafezal do Sul;De 20 a menos de 50 ha;109;3376;26;83;763;2613;23;86;5;21;18;65;0;19;0;50;;
Cafezal do Sul;De 50 a menos de 100 ha;36;2598;18;18;1439;1159;12;24;5;13;7;11;0;10;1;7;;
Cafezal do Sul;De 100 a menos de 200 ha;24;3417;24;0;3417;0;8;16;8;16;0;0;0;11;0;0;;
Cafezal do Sul;De 200 a menos de 500 ha;31;9336;31;0;9336;0;21;10;21;10;0;0;0;6;0;0;;
Cafezal do Sul;De 500 a menos de 1.000 ha;9;6340;9;0;6340;0;4;5;4;5;0;0;1;3;0;0;;
Cafezal do Sul;De 1.000 a menos de 2.500 ha;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;;
Cafezal do Sul;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafezal do Sul;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cafezal do Sul;Produtor sem área;5;0;2;3;0;0;0;4;0;1;0;3;0;1;0;3;;
Califórnia;Mais de 0 a menos de 0,1 ha;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;;
Califórnia;De 0,1 a menos de 0,2 ha;3;0;3;0;0;0;0;3;0;3;0;0;0;3;0;0;;
Califórnia;De 0,2 a menos de 0,5 ha;5;2;2;3;0;0;0;5;0;2;0;3;1;1;0;2;;
Califórnia;De 0,5 a menos de 1 ha;27;16;11;16;6;10;17;10;8;3;9;7;0;2;2;4;;
Califórnia;De 1 a menos de 2 ha;20;28;1;19;0;0;5;15;0;1;5;14;0;0;0;13;;
Califórnia;De 2 a menos de 3 ha;19;46;3;16;7;39;5;14;0;3;5;11;0;3;0;10;;
Califórnia;De 3 a menos de 4 ha;33;113;7;26;24;90;16;17;3;4;13;13;0;2;0;12;;
Califórnia;De 4 a menos de 5 ha;35;168;5;30;24;145;13;22;1;4;12;18;0;4;0;15;;
Califórnia;De 5 a menos de 10 ha;86;671;9;77;73;598;50;36;6;3;44;33;0;2;0;30;;
Califórnia;De 10 a menos de 20 ha;69;987;7;62;92;895;39;30;3;4;36;26;0;3;1;20;;
Califórnia;De 20 a menos de 50 ha;80;2526;8;72;218;2308;57;23;4;4;53;19;0;4;0;17;;
Califórnia;De 50 a menos de 100 ha;33;2225;20;13;1474;751;29;4;16;4;13;0;0;4;0;0;;
Califórnia;De 100 a menos de 200 ha;19;2744;19;0;2744;0;15;4;15;4;0;0;0;3;0;0;;
Califórnia;De 200 a menos de 500 ha;6;1474;6;0;1474;0;4;2;4;2;0;0;0;2;0;0;;
Califórnia;De 500 a menos de 1.000 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Califórnia;De 1.000 a menos de 2.500 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Califórnia;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Califórnia;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Califórnia;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambará;Mais de 0 a menos de 0,1 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambará;De 0,1 a menos de 0,2 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambará;De 0,2 a menos de 0,5 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambará;De 0,5 a menos de 1 ha;3;2;1;2;0;0;1;2;0;1;1;1;0;1;0;1;;
Cambará;De 1 a menos de 2 ha;18;26;2;16;0;0;11;7;1;1;10;6;0;1;1;5;;
Cambará;De 2 a menos de 3 ha;9;22;3;6;7;15;7;2;1;2;6;0;0;2;0;0;;
Cambará;De 3 a menos de 4 ha;20;71;5;15;17;54;9;11;1;4;8;7;0;4;0;5;;
Cambará;De 4 a menos de 5 ha;16;76;3;13;15;61;10;6;1;2;9;4;0;2;1;3;;
Cambará;De 5 a menos de 10 ha;83;629;8;75;60;569;60;23;3;5;57;18;0;4;0;8;;
Cambará;De 10 a menos de 20 ha;65;953;5;60;74;878;55;10;3;2;52;8;0;2;0;3;;
Cambará;De 20 a menos de 50 ha;86;2647;7;79;179;2468;82;4;7;0;75;4;0;0;0;2;;
Cambará;De 50 a menos de 100 ha;42;2936;22;20;1758;1179;42;0;22;0;20;0;0;0;0;0;;
Cambará;De 100 a menos de 200 ha;28;3711;28;0;3711;0;27;1;27;1;0;0;0;1;0;0;;
Cambará;De 200 a menos de 500 ha;20;7111;20;0;7111;0;18;2;18;2;0;0;0;0;0;0;;
Cambará;De 500 a menos de 1.000 ha;4;2837;4;0;2837;0;4;0;4;0;0;0;0;0;0;0;;
Cambará;De 1.000 a menos de 2.500 ha;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;;
Cambará;De 2.500 a menos de 10.000 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Cambará;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambará;Produtor sem área;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambé;Mais de 0 a menos de 0,1 ha;17;0;2;15;0;0;0;17;0;2;0;15;1;1;10;4;;
Cambé;De 0,1 a menos de 0,2 ha;12;1;2;10;0;0;0;12;0;2;0;10;0;2;5;5;;
Cambé;De 0,2 a menos de 0,5 ha;26;7;2;24;0;0;0;26;0;2;0;24;0;2;8;13;;
Cambé;De 0,5 a menos de 1 ha;45;24;8;37;4;20;7;38;1;7;6;31;0;5;3;23;;
Cambé;De 1 a menos de 2 ha;14;16;0;14;0;16;3;11;0;0;3;11;0;0;0;8;;
Cambé;De 2 a menos de 3 ha;21;49;1;20;0;0;7;14;0;1;7;13;0;1;0;11;;
Cambé;De 3 a menos de 4 ha;23;79;3;20;10;69;11;12;0;3;11;9;0;2;0;5;;
Cambé;De 4 a menos de 5 ha;29;138;2;27;0;0;13;16;0;2;13;14;0;2;0;11;;
Cambé;De 5 a menos de 10 ha;63;476;9;54;69;407;45;18;8;1;37;17;0;0;1;9;;
Cambé;De 10 a menos de 20 ha;74;1033;10;64;136;897;54;20;8;2;46;18;0;0;1;7;;
Cambé;De 20 a menos de 50 ha;98;3360;26;72;1063;2297;86;12;21;5;65;7;0;3;0;4;;
Cambé;De 50 a menos de 100 ha;49;3514;49;0;3514;0;46;3;46;3;0;0;0;1;0;0;;
Cambé;De 100 a menos de 200 ha;45;6428;45;0;6428;0;42;3;42;3;0;0;0;1;0;0;;
Cambé;De 200 a menos de 500 ha;32;9527;32;0;9527;0;30;2;30;2;0;0;0;0;0;0;;
Cambé;De 500 a menos de 1.000 ha;10;6725;10;0;6725;0;10;0;10;0;0;0;0;0;0;0;;
Cambé;De 1.000 a menos de 2.500 ha;5;7376;5;0;7376;0;5;0;5;0;0;0;0;0;0;0;;
Cambé;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambé;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambé;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambira;Mais de 0 a menos de 0,1 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambira;De 0,1 a menos de 0,2 ha;2;0;0;2;0;0;1;1;0;0;1;1;0;0;0;1;;
Cambira;De 0,2 a menos de 0,5 ha;10;3;2;8;0;0;3;7;1;1;2;6;0;1;0;6;;
Cambira;De 0,5 a menos de 1 ha;24;13;2;22;0;0;6;18;2;0;4;18;0;0;0;18;;
Cambira;De 1 a menos de 2 ha;4;5;1;3;0;0;2;2;1;0;1;2;0;0;0;2;;
Cambira;De 2 a menos de 3 ha;19;46;4;15;10;35;6;13;0;4;6;9;0;4;0;9;;
Cambira;De 3 a menos de 4 ha;19;67;3;16;10;57;11;8;1;2;10;6;0;1;0;5;;
Cambira;De 4 a menos de 5 ha;51;244;3;48;15;230;29;22;2;1;27;21;0;1;0;17;;
Cambira;De 5 a menos de 10 ha;87;693;7;80;52;641;58;29;4;3;54;26;0;2;0;23;;
Cambira;De 10 a menos de 20 ha;156;2230;25;131;365;1866;128;28;18;7;110;21;0;4;0;17;;
Cambira;De 20 a menos de 50 ha;136;4219;11;125;365;3854;127;9;10;1;117;8;0;1;0;5;;
Cambira;De 50 a menos de 100 ha;28;1827;18;10;1267;560;27;1;17;1;10;0;0;0;0;0;;
Cambira;De 100 a menos de 200 ha;9;1207;9;0;1207;0;6;3;6;3;0;0;0;3;0;0;;
Cambira;De 200 a menos de 500 ha;7;1947;7;0;1947;0;7;0;7;0;0;0;0;0;0;0;;
Cambira;De 500 a menos de 1.000 ha;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;;
Cambira;De 1.000 a menos de 2.500 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambira;De 2.500 a menos de 10.000 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambira;De 10.000 ha e mais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Cambira;Produtor sem área;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Campina da Lagoa;Mais de 0 a menos de 0,1 ha;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;;
Campina da Lagoa;De 0,1 a menos de 0,2 ha;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;;
Campina da Lagoa;De 0,2 a menos de 0,5 ha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Campina da Lagoa;De 0,5 a menos de 1 ha;7;0;0;7;0;0;3;4;0;0;3;4;0;0;0;1;;
Campina da Lagoa;De 1 a menos de 2 ha;8;10;3;5;0;0;4;4;1;2;3;2;0;2;1;1;;
Campina da Lagoa;De 2 a menos de 3 ha;16;40;3;13;8;32;8;8;2;1;6;7;0;1;0;2;;
Campina da Lagoa;De 3 a menos de 4 ha;20;70;3;17;0;0;10;10;3;0;7;10;0;0;0;5;;
Campina da Lagoa;De 4 a menos de 5 ha;29;140;5;24;24;115;12;17;3;2;9;15;0;2;0;6;;
Campina da Lagoa;De 5 a menos de 10 ha;123;962;17;106;138;825;72;51;8;9;64;42;0;6;1;27;;
